,rec_id,date,ppe,qty
0,rec0,2020-04-02 16:27:00+00:00,gowns,1000.0
2,rec0,2020-04-02 16:27:00+00:00,faceShields,5000.0
14,rec0,2020-04-02 16:27:00+00:00,respirators,10000.0
15,rec0,2020-04-02 16:27:00+00:00,nitrileGloves,10000.0
18,rec1,2020-04-02 16:35:00+00:00,gowns,9.0
19,rec1,2020-04-02 16:35:00+00:00,handSanitizer,4.0
20,rec1,2020-04-02 16:35:00+00:00,faceShields,9.0
25,rec1,2020-04-02 16:35:00+00:00,disinfectingWipes,4.0
31,rec1,2020-04-02 16:35:00+00:00,handmadeMasks,9.0
32,rec1,2020-04-02 16:35:00+00:00,respirators,9.0
33,rec1,2020-04-02 16:35:00+00:00,nitrileGloves,5.0
36,rec2,2020-04-02 16:44:00+00:00,gowns,100.0
37,rec2,2020-04-02 16:44:00+00:00,handSanitizer,25.0
38,rec2,2020-04-02 16:44:00+00:00,faceShields,10.0
39,rec2,2020-04-02 16:44:00+00:00,thermometers,20.0
43,rec2,2020-04-02 16:44:00+00:00,disinfectingWipes,300.0
45,rec2,2020-04-02 16:44:00+00:00,disposableBooties,100.0
50,rec2,2020-04-02 16:44:00+00:00,respirators,5.0
54,rec3,2020-04-02 16:47:00+00:00,gowns,400.0
55,rec3,2020-04-02 16:47:00+00:00,handSanitizer,100.0
56,rec3,2020-04-02 16:47:00+00:00,faceShields,200.0
57,rec3,2020-04-02 16:47:00+00:00,thermometers,50.0
61,rec3,2020-04-02 16:47:00+00:00,disinfectingWipes,50.0
67,rec3,2020-04-02 16:47:00+00:00,handmadeMasks,100.0
68,rec3,2020-04-02 16:47:00+00:00,respirators,200.0
69,rec3,2020-04-02 16:47:00+00:00,nitrileGloves,100.0
72,rec4,2020-04-02 16:54:00+00:00,gowns,30.0
73,rec4,2020-04-02 16:54:00+00:00,handSanitizer,4.0
75,rec4,2020-04-02 16:54:00+00:00,thermometers,2.0
86,rec4,2020-04-02 16:54:00+00:00,respirators,10.0
90,rec5,2020-04-02 16:55:00+00:00,gowns,250.0
91,rec5,2020-04-02 16:55:00+00:00,handSanitizer,250.0
92,rec5,2020-04-02 16:55:00+00:00,faceShields,100.0
93,rec5,2020-04-02 16:55:00+00:00,thermometers,100.0
97,rec5,2020-04-02 16:55:00+00:00,disinfectingWipes,100.0
99,rec5,2020-04-02 16:55:00+00:00,disposableBooties,100.0
103,rec5,2020-04-02 16:55:00+00:00,handmadeMasks,100.0
104,rec5,2020-04-02 16:55:00+00:00,respirators,150.0
108,rec6,2020-04-02 16:56:00+00:00,gowns,1200.0
115,rec6,2020-04-02 16:56:00+00:00,disinfectingWipes,20.0
117,rec6,2020-04-02 16:56:00+00:00,disposableBooties,500.0
122,rec6,2020-04-02 16:56:00+00:00,respirators,1100.0
126,rec7,2020-04-02 16:59:00+00:00,gowns,2000.0
129,rec7,2020-04-02 16:59:00+00:00,thermometers,125.0
133,rec7,2020-04-02 16:59:00+00:00,disinfectingWipes,500.0
139,rec7,2020-04-02 16:59:00+00:00,handmadeMasks,1200.0
140,rec7,2020-04-02 16:59:00+00:00,respirators,2800.0
144,rec8,2020-04-02 17:38:00+00:00,gowns,100.0
145,rec8,2020-04-02 17:38:00+00:00,handSanitizer,50.0
146,rec8,2020-04-02 17:38:00+00:00,faceShields,50.0
147,rec8,2020-04-02 17:38:00+00:00,thermometers,12.0
151,rec8,2020-04-02 17:38:00+00:00,disinfectingWipes,50.0
153,rec8,2020-04-02 17:38:00+00:00,disposableBooties,50.0
158,rec8,2020-04-02 17:38:00+00:00,respirators,50.0
159,rec8,2020-04-02 17:38:00+00:00,nitrileGloves,5.0
162,rec9,2020-04-02 17:48:00+00:00,gowns,20.0
163,rec9,2020-04-02 17:48:00+00:00,handSanitizer,30.0
164,rec9,2020-04-02 17:48:00+00:00,faceShields,30.0
169,rec9,2020-04-02 17:48:00+00:00,disinfectingWipes,20.0
176,rec9,2020-04-02 17:48:00+00:00,respirators,30.0
180,rec10,2020-04-02 17:48:00+00:00,gowns,20.0
182,rec10,2020-04-02 17:48:00+00:00,faceShields,30.0
194,rec10,2020-04-02 17:48:00+00:00,respirators,30.0
198,rec11,2020-04-02 17:48:00+00:00,gowns,20.0
200,rec11,2020-04-02 17:48:00+00:00,faceShields,30.0
212,rec11,2020-04-02 17:48:00+00:00,respirators,30.0
217,rec12,2020-04-02 17:55:00+00:00,handSanitizer,100.0
218,rec12,2020-04-02 17:55:00+00:00,faceShields,5000.0
219,rec12,2020-04-02 17:55:00+00:00,thermometers,100.0
230,rec12,2020-04-02 17:55:00+00:00,respirators,10000.0
234,rec13,2020-04-02 17:55:00+00:00,gowns,20.0
235,rec13,2020-04-02 17:55:00+00:00,handSanitizer,20.0
236,rec13,2020-04-02 17:55:00+00:00,faceShields,10.0
237,rec13,2020-04-02 17:55:00+00:00,thermometers,10.0
241,rec13,2020-04-02 17:55:00+00:00,disinfectingWipes,20.0
247,rec13,2020-04-02 17:55:00+00:00,handmadeMasks,20.0
248,rec13,2020-04-02 17:55:00+00:00,respirators,10.0
249,rec13,2020-04-02 17:55:00+00:00,nitrileGloves,20.0
252,rec14,2020-04-02 21:23:08+00:00,gowns,1000.0
254,rec14,2020-04-02 21:23:08+00:00,faceShields,5000.0
266,rec14,2020-04-02 21:23:08+00:00,respirators,10000.0
267,rec14,2020-04-02 21:23:08+00:00,nitrileGloves,10000.0
270,rec15,2020-04-02 21:23:49+00:00,gowns,400.0
272,rec15,2020-04-02 21:23:49+00:00,faceShields,200.0
273,rec15,2020-04-02 21:23:49+00:00,thermometers,50.0
277,rec15,2020-04-02 21:23:49+00:00,disinfectingWipes,50.0
283,rec15,2020-04-02 21:23:49+00:00,handmadeMasks,100.0
284,rec15,2020-04-02 21:23:49+00:00,respirators,200.0
285,rec15,2020-04-02 21:23:49+00:00,nitrileGloves,100.0
288,rec16,2020-04-02 21:25:28+00:00,gowns,20.0
290,rec16,2020-04-02 21:25:28+00:00,faceShields,30.0
295,rec16,2020-04-02 21:25:28+00:00,disinfectingWipes,20.0
302,rec16,2020-04-02 21:25:28+00:00,respirators,30.0
306,rec17,2020-04-02 21:32:15+00:00,gowns,100.0
308,rec17,2020-04-02 21:32:15+00:00,faceShields,10.0
309,rec17,2020-04-02 21:32:15+00:00,thermometers,20.0
313,rec17,2020-04-02 21:32:15+00:00,disinfectingWipes,300.0
315,rec17,2020-04-02 21:32:15+00:00,disposableBooties,100.0
320,rec17,2020-04-02 21:32:15+00:00,respirators,5.0
324,rec18,2020-04-02 21:38:09+00:00,gowns,1200.0
331,rec18,2020-04-02 21:38:09+00:00,disinfectingWipes,20.0
333,rec18,2020-04-02 21:38:09+00:00,disposableBooties,500.0
338,rec18,2020-04-02 21:38:09+00:00,respirators,1100.0
342,rec19,2020-04-02 21:43:09+00:00,gowns,250.0
344,rec19,2020-04-02 21:43:09+00:00,faceShields,100.0
345,rec19,2020-04-02 21:43:09+00:00,thermometers,100.0
349,rec19,2020-04-02 21:43:09+00:00,disinfectingWipes,100.0
351,rec19,2020-04-02 21:43:09+00:00,disposableBooties,100.0
355,rec19,2020-04-02 21:43:09+00:00,handmadeMasks,100.0
356,rec19,2020-04-02 21:43:09+00:00,respirators,150.0
360,rec20,2020-04-02 21:44:14+00:00,gowns,2000.0
363,rec20,2020-04-02 21:44:14+00:00,thermometers,125.0
367,rec20,2020-04-02 21:44:14+00:00,disinfectingWipes,500.0
373,rec20,2020-04-02 21:44:14+00:00,handmadeMasks,1200.0
374,rec20,2020-04-02 21:44:14+00:00,respirators,2800.0
378,rec21,2020-04-02 21:49:48+00:00,gowns,30.0
381,rec21,2020-04-02 21:49:48+00:00,thermometers,2.0
392,rec21,2020-04-02 21:49:48+00:00,respirators,10.0
396,rec22,2020-04-02 22:32:49+00:00,gowns,100.0
398,rec22,2020-04-02 22:32:49+00:00,faceShields,50.0
399,rec22,2020-04-02 22:32:49+00:00,thermometers,12.0
403,rec22,2020-04-02 22:32:49+00:00,disinfectingWipes,50.0
405,rec22,2020-04-02 22:32:49+00:00,disposableBooties,50.0
410,rec22,2020-04-02 22:32:49+00:00,respirators,50.0
411,rec22,2020-04-02 22:32:49+00:00,nitrileGloves,5.0
416,rec23,2020-04-02 22:50:05+00:00,faceShields,5000.0
417,rec23,2020-04-02 22:50:05+00:00,thermometers,100.0
428,rec23,2020-04-02 22:50:05+00:00,respirators,10000.0
432,rec24,2020-04-03 00:12:00+00:00,gowns,100.0
433,rec24,2020-04-03 00:12:00+00:00,handSanitizer,15.0
434,rec24,2020-04-03 00:12:00+00:00,faceShields,20.0
435,rec24,2020-04-03 00:12:00+00:00,thermometers,5.0
439,rec24,2020-04-03 00:12:00+00:00,disinfectingWipes,20.0
445,rec24,2020-04-03 00:12:00+00:00,handmadeMasks,25.0
446,rec24,2020-04-03 00:12:00+00:00,respirators,20.0
447,rec24,2020-04-03 00:12:00+00:00,nitrileGloves,100.0
450,rec25,2020-04-03 05:07:18+00:00,gowns,100.0
452,rec25,2020-04-03 05:07:18+00:00,faceShields,20.0
453,rec25,2020-04-03 05:07:18+00:00,thermometers,5.0
457,rec25,2020-04-03 05:07:18+00:00,disinfectingWipes,20.0
463,rec25,2020-04-03 05:07:18+00:00,handmadeMasks,25.0
464,rec25,2020-04-03 05:07:18+00:00,respirators,20.0
465,rec25,2020-04-03 05:07:18+00:00,nitrileGloves,100.0
469,rec26,2020-04-03 06:04:00+00:00,handSanitizer,300.0
470,rec26,2020-04-03 06:04:00+00:00,faceShields,100.0
475,rec26,2020-04-03 06:04:00+00:00,disinfectingWipes,500.0
477,rec26,2020-04-03 06:04:00+00:00,disposableBooties,100.0
482,rec26,2020-04-03 06:04:00+00:00,respirators,100.0
483,rec26,2020-04-03 06:04:00+00:00,nitrileGloves,100.0
487,rec27,2020-04-03 06:04:00+00:00,handSanitizer,300.0
488,rec27,2020-04-03 06:04:00+00:00,faceShields,100.0
493,rec27,2020-04-03 06:04:00+00:00,disinfectingWipes,500.0
495,rec27,2020-04-03 06:04:00+00:00,disposableBooties,100.0
500,rec27,2020-04-03 06:04:00+00:00,respirators,100.0
501,rec27,2020-04-03 06:04:00+00:00,nitrileGloves,100.0
505,rec28,2020-04-03 06:07:00+00:00,handSanitizer,10.0
507,rec28,2020-04-03 06:07:00+00:00,thermometers,2.0
511,rec28,2020-04-03 06:07:00+00:00,disinfectingWipes,3.0
513,rec28,2020-04-03 06:07:00+00:00,disposableBooties,32.0
518,rec28,2020-04-03 06:07:00+00:00,respirators,12.0
519,rec28,2020-04-03 06:07:00+00:00,nitrileGloves,2.0
522,rec29,2020-04-03 06:09:00+00:00,gowns,100.0
523,rec29,2020-04-03 06:09:00+00:00,handSanitizer,100.0
525,rec29,2020-04-03 06:09:00+00:00,thermometers,5.0
529,rec29,2020-04-03 06:09:00+00:00,disinfectingWipes,100.0
541,rec30,2020-04-03 06:09:00+00:00,handSanitizer,10.0
542,rec30,2020-04-03 06:09:00+00:00,faceShields,10.0
554,rec30,2020-04-03 06:09:00+00:00,respirators,20.0
558,rec31,2020-04-03 06:11:00+00:00,gowns,1000.0
560,rec31,2020-04-03 06:11:00+00:00,faceShields,100.0
567,rec31,2020-04-03 06:11:00+00:00,disposableBooties,500.0
570,rec31,2020-04-03 06:11:00+00:00,surgicalMasks,5000.0
576,rec32,2020-04-03 06:13:00+00:00,gowns,100.0
577,rec32,2020-04-03 06:13:00+00:00,handSanitizer,30.0
578,rec32,2020-04-03 06:13:00+00:00,faceShields,100.0
583,rec32,2020-04-03 06:13:00+00:00,disinfectingWipes,20.0
590,rec32,2020-04-03 06:13:00+00:00,respirators,100.0
591,rec32,2020-04-03 06:13:00+00:00,nitrileGloves,200.0
594,rec33,2020-04-03 06:14:00+00:00,gowns,14.0
595,rec33,2020-04-03 06:14:00+00:00,handSanitizer,10.0
596,rec33,2020-04-03 06:14:00+00:00,faceShields,5.0
601,rec33,2020-04-03 06:14:00+00:00,disinfectingWipes,3.0
607,rec33,2020-04-03 06:14:00+00:00,handmadeMasks,10.0
608,rec33,2020-04-03 06:14:00+00:00,respirators,14.0
609,rec33,2020-04-03 06:14:00+00:00,nitrileGloves,1000.0
612,rec34,2020-04-03 06:14:00+00:00,gowns,14.0
613,rec34,2020-04-03 06:14:00+00:00,handSanitizer,10.0
614,rec34,2020-04-03 06:14:00+00:00,faceShields,5.0
619,rec34,2020-04-03 06:14:00+00:00,disinfectingWipes,3.0
625,rec34,2020-04-03 06:14:00+00:00,handmadeMasks,10.0
626,rec34,2020-04-03 06:14:00+00:00,respirators,14.0
627,rec34,2020-04-03 06:14:00+00:00,nitrileGloves,1000.0
630,rec35,2020-04-03 06:15:00+00:00,gowns,25.0
631,rec35,2020-04-03 06:15:00+00:00,handSanitizer,6.0
632,rec35,2020-04-03 06:15:00+00:00,faceShields,25.0
633,rec35,2020-04-03 06:15:00+00:00,thermometers,3.0
637,rec35,2020-04-03 06:15:00+00:00,disinfectingWipes,5.0
643,rec35,2020-04-03 06:15:00+00:00,handmadeMasks,12.0
644,rec35,2020-04-03 06:15:00+00:00,respirators,25.0
645,rec35,2020-04-03 06:15:00+00:00,nitrileGloves,10.0
648,rec36,2020-04-03 06:15:00+00:00,gowns,20.0
649,rec36,2020-04-03 06:15:00+00:00,handSanitizer,5.0
650,rec36,2020-04-03 06:15:00+00:00,faceShields,10.0
655,rec36,2020-04-03 06:15:00+00:00,disinfectingWipes,5.0
662,rec36,2020-04-03 06:15:00+00:00,respirators,50.0
666,rec37,2020-04-03 06:17:00+00:00,gowns,75.0
667,rec37,2020-04-03 06:17:00+00:00,handSanitizer,10.0
668,rec37,2020-04-03 06:17:00+00:00,faceShields,75.0
673,rec37,2020-04-03 06:17:00+00:00,disinfectingWipes,20.0
675,rec37,2020-04-03 06:17:00+00:00,disposableBooties,75.0
679,rec37,2020-04-03 06:17:00+00:00,handmadeMasks,100.0
680,rec37,2020-04-03 06:17:00+00:00,respirators,75.0
684,rec38,2020-04-03 06:19:00+00:00,gowns,10000.0
686,rec38,2020-04-03 06:19:00+00:00,faceShields,2000.0
691,rec38,2020-04-03 06:19:00+00:00,disinfectingWipes,1000.0
693,rec38,2020-04-03 06:19:00+00:00,disposableBooties,5000.0
698,rec38,2020-04-03 06:19:00+00:00,respirators,10000.0
699,rec38,2020-04-03 06:19:00+00:00,nitrileGloves,10000.0
702,rec39,2020-04-03 06:21:00+00:00,gowns,1050.0
703,rec39,2020-04-03 06:21:00+00:00,handSanitizer,595.0
704,rec39,2020-04-03 06:21:00+00:00,faceShields,350.0
705,rec39,2020-04-03 06:21:00+00:00,thermometers,357.0
709,rec39,2020-04-03 06:21:00+00:00,disinfectingWipes,357.0
716,rec39,2020-04-03 06:21:00+00:00,respirators,1020.0
717,rec39,2020-04-03 06:21:00+00:00,nitrileGloves,360.0
722,rec40,2020-04-03 06:21:00+00:00,faceShields,400.0
727,rec40,2020-04-03 06:21:00+00:00,disinfectingWipes,100.0
738,rec41,2020-04-03 06:21:00+00:00,gowns,1050.0
739,rec41,2020-04-03 06:21:00+00:00,handSanitizer,595.0
740,rec41,2020-04-03 06:21:00+00:00,faceShields,350.0
741,rec41,2020-04-03 06:21:00+00:00,thermometers,357.0
745,rec41,2020-04-03 06:21:00+00:00,disinfectingWipes,357.0
752,rec41,2020-04-03 06:21:00+00:00,respirators,1020.0
753,rec41,2020-04-03 06:21:00+00:00,nitrileGloves,360.0
757,rec42,2020-04-03 06:25:00+00:00,handSanitizer,7.0
759,rec42,2020-04-03 06:25:00+00:00,thermometers,4.0
763,rec42,2020-04-03 06:25:00+00:00,disinfectingWipes,7.0
768,rec42,2020-04-03 06:25:00+00:00,surgicalMasks,30.0
771,rec42,2020-04-03 06:25:00+00:00,nitrileGloves,100.0
774,rec43,2020-04-03 06:33:00+00:00,gowns,200.0
