,don_id,ppe,date,qty
0,don808,faceShields,2020-05-21 18:54:20.621000+00:00,1000.0
1,don809,handmadeMasks,2020-05-21 21:04:53.401000+00:00,50.0
2,don811,respirators,2020-05-21 22:05:55.690000+00:00,1000.0
3,don811,surgicalMasks,2020-05-21 22:05:55.690000+00:00,1000.0
4,don814,handmadeMasks,2020-05-22 01:05:52.392000+00:00,80.0
5,don814,nitrileGloves,2020-05-22 01:05:52.392000+00:00,10.0
6,don814,surgicalMasks,2020-05-22 01:05:52.392000+00:00,500.0
7,don815,faceShields,2020-05-22 07:38:09.981000+00:00,300.0
8,don816,nitrileGloves,2020-05-22 16:05:54.207000+00:00,2.0
9,don817,surgicalMasks,2020-05-22 19:21:06.727000+00:00,500.0
10,don818,faceShields,2020-05-22 20:25:26.990000+00:00,56.0
11,don819,nitrileGloves,2020-05-22 21:21:06.677000+00:00,100.0
12,don824,disinfectingWipes,2020-05-23 11:47:36.411000+00:00,20.0
13,don824,gowns,2020-05-23 11:47:36.411000+00:00,50.0
14,don824,respirators,2020-05-23 11:47:36.411000+00:00,300.0
15,don824,thermometers,2020-05-23 11:47:36.411000+00:00,5.0
16,don825,handSanitizer,2020-05-23 21:49:24.695000+00:00,59.0
17,don826,faceShields,2020-05-24 17:59:33.978000+00:00,57.0
18,don827,faceShields,2020-05-25 13:01:14.280000+00:00,52.0
19,don828,faceShields,2020-05-25 15:21:59.088000+00:00,3.0
20,don829,faceShields,2020-05-25 15:59:16.183000+00:00,50.0
21,don835,coveralls,2020-05-25 19:05:33.242000+00:00,60.0
22,don835,nitrileGloves,2020-05-25 19:05:33.242000+00:00,1000.0
23,don835,respirators,2020-05-25 19:05:33.242000+00:00,150.0
24,don835,safetyGoggles,2020-05-25 19:05:33.242000+00:00,15.0
25,don835,surgicalMasks,2020-05-25 19:05:33.242000+00:00,100.0
26,don836,faceShields,2020-05-25 21:40:14.611000+00:00,60.0
27,don839,nitrileGloves,2020-05-26 03:56:48.229000+00:00,500.0
28,don839,respirators,2020-05-26 03:56:48.229000+00:00,420.0
29,don843,handmadeMasks,2020-05-26 20:58:51.583000+00:00,1000.0
30,don845,faceShields,2020-05-26 23:12:40.661000+00:00,24.0
31,don846,bodyBags,2020-05-27 01:40:58+00:00,10.0
32,don847,faceShields,2020-05-27 04:58:29.165000+00:00,50.0
33,don849,faceShields,2020-05-27 16:13:59.886000+00:00,200.0
34,don849,handmadeMasks,2020-05-27 16:13:59.886000+00:00,300.0
35,don850,faceShields,2020-05-27 21:13:51.256000+00:00,498.0
36,don851,respirators,2020-05-28 16:20:18.093000+00:00,200.0
