,metric_name,description,value
0,"fill rate (rec0,faceShields)",fill rate of recipient rec0 limited to faceShields,0.737
1,"fill rate (rec0,gowns)",fill rate of recipient rec0 limited to gowns,0.501
2,"fill rate (rec0,nitrileGloves)",fill rate of recipient rec0 limited to nitrileGloves,0.0414
3,"fill rate (rec0,respirators)",fill rate of recipient rec0 limited to respirators,0.3908
4,"fill rate (rec1,disinfectingWipes)",fill rate of recipient rec1 limited to disinfectingWipes,1.0
5,"fill rate (rec1,faceShields)",fill rate of recipient rec1 limited to faceShields,1.0
6,"fill rate (rec1,gowns)",fill rate of recipient rec1 limited to gowns,1.0
7,"fill rate (rec1,handSanitizer)",fill rate of recipient rec1 limited to handSanitizer,1.0
8,"fill rate (rec1,handmadeMasks)",fill rate of recipient rec1 limited to handmadeMasks,1.0
9,"fill rate (rec1,nitrileGloves)",fill rate of recipient rec1 limited to nitrileGloves,1.0
10,"fill rate (rec1,respirators)",fill rate of recipient rec1 limited to respirators,1.0
11,"fill rate (rec10,faceShields)",fill rate of recipient rec10 limited to faceShields,1.0
12,"fill rate (rec10,gowns)",fill rate of recipient rec10 limited to gowns,1.0
13,"fill rate (rec10,respirators)",fill rate of recipient rec10 limited to respirators,1.0
14,"fill rate (rec100,disinfectingWipes)",fill rate of recipient rec100 limited to disinfectingWipes,1.0
15,"fill rate (rec100,faceShields)",fill rate of recipient rec100 limited to faceShields,1.0
16,"fill rate (rec100,handSanitizer)",fill rate of recipient rec100 limited to handSanitizer,1.0
17,"fill rate (rec100,respirators)",fill rate of recipient rec100 limited to respirators,1.0
18,"fill rate (rec1000,nitrileGloves)",fill rate of recipient rec1000 limited to nitrileGloves,1.0
19,"fill rate (rec1000,surgicalMasks)",fill rate of recipient rec1000 limited to surgicalMasks,1.0
20,"fill rate (rec1001,faceShields)",fill rate of recipient rec1001 limited to faceShields,1.0
21,"fill rate (rec1001,gowns)",fill rate of recipient rec1001 limited to gowns,0.25
22,"fill rate (rec1001,nitrileGloves)",fill rate of recipient rec1001 limited to nitrileGloves,1.0
23,"fill rate (rec1001,respirators)",fill rate of recipient rec1001 limited to respirators,1.0
24,"fill rate (rec1002,faceShields)",fill rate of recipient rec1002 limited to faceShields,1.0
25,"fill rate (rec1002,respirators)",fill rate of recipient rec1002 limited to respirators,1.0
26,"fill rate (rec1003,disinfectingWipes)",fill rate of recipient rec1003 limited to disinfectingWipes,1.0
27,"fill rate (rec1003,respirators)",fill rate of recipient rec1003 limited to respirators,1.0
28,"fill rate (rec1004,disinfectingWipes)",fill rate of recipient rec1004 limited to disinfectingWipes,0.339
29,"fill rate (rec1004,disposableBooties)",fill rate of recipient rec1004 limited to disposableBooties,1.0
30,"fill rate (rec1004,faceShields)",fill rate of recipient rec1004 limited to faceShields,1.0
31,"fill rate (rec1004,gowns)",fill rate of recipient rec1004 limited to gowns,0.0
32,"fill rate (rec1004,handSanitizer)",fill rate of recipient rec1004 limited to handSanitizer,1.0
33,"fill rate (rec1004,handmadeMasks)",fill rate of recipient rec1004 limited to handmadeMasks,0.7485
34,"fill rate (rec1004,nitrileGloves)",fill rate of recipient rec1004 limited to nitrileGloves,0.326
35,"fill rate (rec1004,respirators)",fill rate of recipient rec1004 limited to respirators,1.0
36,"fill rate (rec1004,thermometers)",fill rate of recipient rec1004 limited to thermometers,0.003
37,"fill rate (rec1005,disinfectingWipes)",fill rate of recipient rec1005 limited to disinfectingWipes,1.0
38,"fill rate (rec1005,faceShields)",fill rate of recipient rec1005 limited to faceShields,1.0
39,"fill rate (rec1005,gowns)",fill rate of recipient rec1005 limited to gowns,0.0
40,"fill rate (rec1005,respirators)",fill rate of recipient rec1005 limited to respirators,1.0
41,"fill rate (rec1006,disinfectingWipes)",fill rate of recipient rec1006 limited to disinfectingWipes,1.0
42,"fill rate (rec1006,gowns)",fill rate of recipient rec1006 limited to gowns,0.0
43,"fill rate (rec1006,nitrileGloves)",fill rate of recipient rec1006 limited to nitrileGloves,1.0
44,"fill rate (rec1006,respirators)",fill rate of recipient rec1006 limited to respirators,1.0
45,"fill rate (rec1006,thermometers)",fill rate of recipient rec1006 limited to thermometers,0.0
46,"fill rate (rec1007,disinfectingWipes)",fill rate of recipient rec1007 limited to disinfectingWipes,0.0002
47,"fill rate (rec1007,faceShields)",fill rate of recipient rec1007 limited to faceShields,0.515
48,"fill rate (rec1007,gowns)",fill rate of recipient rec1007 limited to gowns,0.0
49,"fill rate (rec1007,respirators)",fill rate of recipient rec1007 limited to respirators,1.0
50,"fill rate (rec1008,disinfectingWipes)",fill rate of recipient rec1008 limited to disinfectingWipes,0.02
51,"fill rate (rec1008,disposableBooties)",fill rate of recipient rec1008 limited to disposableBooties,1.0
52,"fill rate (rec1008,faceShields)",fill rate of recipient rec1008 limited to faceShields,1.0
53,"fill rate (rec1008,gowns)",fill rate of recipient rec1008 limited to gowns,0.0
54,"fill rate (rec1008,handSanitizer)",fill rate of recipient rec1008 limited to handSanitizer,1.0
55,"fill rate (rec1008,nitrileGloves)",fill rate of recipient rec1008 limited to nitrileGloves,1.0
56,"fill rate (rec1008,respirators)",fill rate of recipient rec1008 limited to respirators,1.0
57,"fill rate (rec1008,thermometers)",fill rate of recipient rec1008 limited to thermometers,0.0
58,"fill rate (rec1009,disinfectingWipes)",fill rate of recipient rec1009 limited to disinfectingWipes,0.0
59,"fill rate (rec1009,disposableBooties)",fill rate of recipient rec1009 limited to disposableBooties,0.3
60,"fill rate (rec1009,faceShields)",fill rate of recipient rec1009 limited to faceShields,1.0
61,"fill rate (rec1009,gowns)",fill rate of recipient rec1009 limited to gowns,0.0
62,"fill rate (rec1009,handmadeMasks)",fill rate of recipient rec1009 limited to handmadeMasks,0.312
63,"fill rate (rec1009,nitrileGloves)",fill rate of recipient rec1009 limited to nitrileGloves,0.183
64,"fill rate (rec1009,respirators)",fill rate of recipient rec1009 limited to respirators,0.468
65,"fill rate (rec1009,thermometers)",fill rate of recipient rec1009 limited to thermometers,0.0
66,"fill rate (rec101,disinfectingWipes)",fill rate of recipient rec101 limited to disinfectingWipes,0.0
67,"fill rate (rec101,disposableBooties)",fill rate of recipient rec101 limited to disposableBooties,1.0
68,"fill rate (rec101,faceShields)",fill rate of recipient rec101 limited to faceShields,1.0
69,"fill rate (rec101,gowns)",fill rate of recipient rec101 limited to gowns,0.0
70,"fill rate (rec101,handSanitizer)",fill rate of recipient rec101 limited to handSanitizer,0.02
71,"fill rate (rec101,nitrileGloves)",fill rate of recipient rec101 limited to nitrileGloves,1.0
72,"fill rate (rec101,respirators)",fill rate of recipient rec101 limited to respirators,0.5575
